src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WEGEW580 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para VULCT175 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WEGEW411 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WIZCR105 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WEGEV610 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WIZCS802 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para VULCT150 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WEGEW532 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para VULCT152 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WEGEV712 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WIZCR903 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WIZCR803 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WEGEW356 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para VULCT170 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WEGEV570 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WEGEV717 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WEGEW431 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WEGEW481 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WIZCR823 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WIZCR60 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WEGEW536 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WEGEW47 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para VULCT137 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WEGEV590 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WEGEW386 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para VULCT160 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WEGEW466 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para VULCT155 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WEGEW541 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WIZCS752 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para VULCT157 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WEGEV515 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WIZCR963 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WEGEV535 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WEGEW537 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WEGEV722 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WEGEW37 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WEGEW381 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WEGEW416 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WIZCR943 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WEGEV707 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WEGEW50 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WEGEW391 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para WEGEW531 (Liquidez detectada)
src.ui.desktop.monitor_worker | INFO | Manutenção: novos books + prioridades em 1.31s
src.ui.desktop.monitor_worker | INFO | Ciclo: monitor=0.186s colar=0.000s cal=0.000s box=0.000s manut=1.309s mpp=0.000s total=1.495s
src.infrastructure.providers.mercado_data_provider | INFO | Varredura: 43487 monitored, 2504 with book | registro=0.000s refresh=0.002s scan=0.136s total=0.138s
src.infrastructure.providers.mercado_data_provider | INFO | Varredura: 43487 monitored, 2504 with book | registro=0.000s refresh=0.000s scan=0.121s total=0.121s
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para VLIDR163 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para VIVTU50 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para VIVTU342 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para VLIDR228 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para VIVTU302 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para VLIDR188 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para VLIDS192 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para VLIDR233 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para VLIDS163 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para VLIDR148 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para VLIDR208 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para VLIDR173 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para VLIDR193 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para VLIDR183 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para VIVTU395 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para VLIDR198 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para VLIDR133 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para VLIDS153 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para VIVTU390 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para VLIDS148 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para VIVTW390 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para VLIDR178 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para VLIDR230 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para VIVTW395 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para VLIDR218 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para VLIDR213 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para VLIDR168 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para VLIDR223 (Liquidez detectada)
src.infrastructure.providers.mercado_data_provider | DEBUG | RTD: Detalhes completos registrados para VLIDS138 (Liquidez detectada)
src.ui.desktop.monitor_worker | INFO | Manutenção: novos books + prioridades em 0.52s
src.ui.desktop.monitor_worker | INFO | Ciclo: monitor=0.183s colar=0.000s cal=0.000s box=0.000s manut=0.517s mpp=0.000s total=0.700s
src.infrastructure.providers.mercado_data_provider | INFO | Varredura: 43487 monitored, 2504 with book | registro=0.000s refresh=0.008s scan=0.121s total=0.129s
src.infrastructure.providers.mercado_data_provider | INFO | Varredura: 43487 monitored, 2504 with book | registro=0.000s refresh=0.000s scan=0.122s total=0.122s
src.application.use_cases.monitor_colares | INFO | Collar DIAG extrair: total=2504, venc=0, whitelist=1311, preco_ativo=0, strike=0, premio=482, qul0=520, dte=0, qulmin=0 -> grupos=17
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAS153 B3SAG186: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR15 B3SAF148: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR15 B3SAF151: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR15 B3SAF154: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR15 B3SAF160: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR15 B3SAF158: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR15 B3SAF157: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR15 B3SAF163: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR15 B3SAF162: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR15 B3SAF165: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR15 B3SAF167: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR15 B3SAF170: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR148 B3SAF151: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR148 B3SAF154: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR148 B3SAF160: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR148 B3SAF158: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR148 B3SAF157: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR148 B3SAF163: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR148 B3SAF162: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR148 B3SAF165: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR148 B3SAF167: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR148 B3SAF170: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR151 B3SAF154: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR151 B3SAF160: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR151 B3SAF158: preco_compra_ativo=0.00 (ask do ativo zerado)
src.domain.services.calculadora_colar | DEBUG | Collar CALC B3SA3 B3SAR151 B3SAF157: preco_compra_ativo=0.00 (ask do ativo zerado)
